gameID  ,turn,side ,move
57380690,1   ,red  ,C2.5
57380690,2   ,red  ,H2+3
57380690,3   ,red  ,R1.2
57380690,4   ,red  ,P7+1
57380690,5   ,red  ,C8.7
57380690,6   ,red  ,H8+9
57380690,7   ,red  ,R2+4
57380690,8   ,red  ,R9.8
57380690,9   ,red  ,P7+1
57380690,10  ,red  ,H9+7
57380690,11  ,red  ,H7+6
57380690,12  ,red  ,R8+9
57380690,13  ,red  ,C5+4
57380690,14  ,red  ,C5.9
57380690,15  ,red  ,C9.1
57380690,16  ,red  ,H6-7
57380690,17  ,red  ,R2.3
57380690,18  ,red  ,P3+1
57380690,19  ,red  ,C7.6
57380690,20  ,red  ,A6+5
57380690,21  ,red  ,C6+1
57380690,22  ,red  ,K5.6
57380690,23  ,red  ,C6-2
57380690,24  ,red  ,C1.3
57380690,25  ,red  ,C6.3
57380690,26  ,red  ,C3-5
57380690,27  ,red  ,H7+8
57380690,28  ,red  ,P9+1
57380690,29  ,red  ,P9+1
57380690,30  ,red  ,K6.5
57380690,31  ,red  ,E7+5
57380690,32  ,red  ,P9+1
57380690,33  ,red  ,H8+9
57380690,34  ,red  ,H9+7
57380690,35  ,red  ,H3+4
57380690,36  ,red  ,H4+6
57380690,37  ,red  ,H7-6
57380690,1   ,black,h2+3
57380690,2   ,black,c8.6
57380690,3   ,black,h8+7
57380690,4   ,black,p7+1
57380690,5   ,black,e7+5
57380690,6   ,black,h7+6
57380690,7   ,black,r9.7
57380690,8   ,black,r1.2
57380690,9   ,black,e5+3
57380690,10  ,black,e-+5
57380690,11  ,black,c2.1
57380690,12  ,black,h3-2
57380690,13  ,black,a4+5
57380690,14  ,black,h2+4
57380690,15  ,black,c1+2
57380690,16  ,black,p7+1
57380690,17  ,black,r7+5
57380690,18  ,black,h6+4
57380690,19  ,black,h++6
57380690,20  ,black,h4+5
57380690,21  ,black,h6+7
57380690,22  ,black,e5-7
57380690,23  ,black,c6.7
57380690,24  ,black,c7+3
57380690,25  ,black,c7+3
57380690,26  ,black,e3-5
57380690,27  ,black,p3+1
57380690,28  ,black,c1-3
57380690,29  ,black,c1.4
57380690,30  ,black,h5+4
57380690,31  ,black,h4+2
57380690,32  ,black,c4+3
57380690,33  ,black,c4-3
57380690,34  ,black,k5.4
57380690,35  ,black,h2-4
57380690,36  ,black,c4+2
57380691,1   ,red  ,C2.5
57380691,2   ,red  ,H2+3
57380691,3   ,red  ,A6+5
57380691,4   ,red  ,H8+7
57380691,5   ,red  ,P5+1
57380691,6   ,red  ,H7+5
57380691,7   ,red  ,P3+1
57380691,8   ,red  ,R1.2
57380691,9   ,red  ,R2+5
57380691,10  ,red  ,H5+3
57380691,11  ,red  ,P5+1
57380691,12  ,red  ,H++5
57380691,13  ,red  ,C8+7
57380691,14  ,red  ,R9.8
57380691,15  ,red  ,R8+4
57380691,16  ,red  ,R8.2
57380691,17  ,red  ,R2+5
57380691,18  ,red  ,R2-3
57380691,19  ,red  ,R2-2
57380691,20  ,red  ,C5.4
57380691,21  ,red  ,E3+5
57380691,22  ,red  ,A5-6
57380691,23  ,red  ,R2.8
57380691,24  ,red  ,K5+1
57380691,25  ,red  ,R8-3
57380691,26  ,red  ,R8.7
57380691,27  ,red  ,C4.5
57380691,28  ,red  ,C5.4
57380691,29  ,red  ,C4.5
57380691,30  ,red  ,R7+2
57380691,31  ,red  ,R7.4
57380691,32  ,red  ,H5+3
57380691,33  ,red  ,H3+2
57380691,34  ,red  ,R4.3
57380691,35  ,red  ,R3+5
57380691,36  ,red  ,R3+1
57380691,37  ,red  ,R3.4
57380691,1   ,black,h2+3
57380691,2   ,black,c8.6
57380691,3   ,black,p7+1
57380691,4   ,black,h8+7
57380691,5   ,black,r9.8
57380691,6   ,black,a6+5
57380691,7   ,black,r8+4
57380691,8   ,black,p7+1
57380691,9   ,black,h7+8
57380691,10  ,black,e3+5
57380691,11  ,black,p5+1
57380691,12  ,black,h3-2
57380691,13  ,black,r1.2
57380691,14  ,black,r2.3
57380691,15  ,black,p3+1
57380691,16  ,black,h8-6
57380691,17  ,black,k5.6
57380691,18  ,black,h6+5
57380691,19  ,black,h5+3
57380691,20  ,black,k6.5
57380691,21  ,black,c2+7
57380691,22  ,black,h3+5
57380691,23  ,black,h5+3
57380691,24  ,black,c2.4
57380691,25  ,black,c4-2
57380691,26  ,black,c4.7
57380691,27  ,black,k5.6
57380691,28  ,black,k6.5
57380691,29  ,black,k5.6
57380691,30  ,black,p3+1
57380691,31  ,black,c6-1
57380691,32  ,black,c6+1
57380691,33  ,black,c7-6
57380691,34  ,black,r3+3
57380691,35  ,black,k6.5
57380691,36  ,black,c6-2
57380692,1   ,red  ,C8.6
57380692,2   ,red  ,P3+1
57380692,3   ,red  ,H2+3
57380692,4   ,red  ,H3+4
57380692,5   ,red  ,P3+1
57380692,6   ,red  ,H4+6
57380692,7   ,red  ,C2.5
57380692,8   ,red  ,C5+4
57380692,9   ,red  ,C5-2
57380692,10  ,red  ,R1.2
57380692,11  ,red  ,R2+5
57380692,12  ,red  ,R2.3
57380692,13  ,red  ,R3+1
57380692,14  ,red  ,H6+4
57380692,15  ,red  ,H8+7
57380692,16  ,red  ,R9.8
57380692,17  ,red  ,R8+6
57380692,18  ,red  ,R8.5
57380692,19  ,red  ,C5+3
57380692,20  ,red  ,R5+1
57380692,21  ,red  ,H4+6
57380692,22  ,red  ,C6+7
57380692,23  ,red  ,R3.5
57380692,24  ,red  ,R-.9
57380692,25  ,red  ,R9.1
57380692,26  ,red  ,R1.8
57380692,27  ,red  ,R5-2
57380692,1   ,black,h8+7
57380692,2   ,black,e3+5
57380692,3   ,black,h2+4
57380692,4   ,black,p7+1
57380692,5   ,black,e5+7
57380692,6   ,black,h4+6
57380692,7   ,black,e+-5
57380692,8   ,black,a6+5
57380692,9   ,black,r9.8
57380692,10  ,black,h7+6
57380692,11  ,black,h-+8
57380692,12  ,black,c2+2
57380692,13  ,black,p3+1
57380692,14  ,black,c8.6
57380692,15  ,black,r1.3
57380692,16  ,black,c2-2
57380692,17  ,black,c2.4
57380692,18  ,black,h6+4
57380692,19  ,black,e7+5
57380692,20  ,black,h4+3
57380692,21  ,black,c6.4
